Services-ID,Title,Is this service open?,Service type,Same phone number as organization?,Phone number,Level of service,Is this service a hotline?,Is this service an advice desk or walk-in clinic?,Average volume for this service,Same hours as location,Service availability,Is this location open at least weekly,Hours of operation,Dates and hours,Same holidays as location,Holiday schedule,Geolocation,Same income eligibility as location,Income eligibility and fees,Flat fee description,Sliding scale fees description,Max percentage of income standard,Amenities offered,Navigator availability,Is printing free for legal self-help center users?,Printing costs,Is scanning free for legal self-help center users?,Scanning costs,Is this service limited to specific populations?,An individual must be one of these to qualify,Featured content,Application process,Application form link,Process for applying by email,Process for applying by phone,Process for applying online,Process for walk-ins,Maximum callbacks per intake slot,Callback slots per applicant,Service is delivered,Website address,Organization ID,Location ID
49936,Free legal information and forms in Warren County,Yes,Legal self-help center,Yes,(309) 734-3166,,,,,Yes,Fixed hours,Yes,Sunday: Closed Monday: 8:00-18:00  Tuesday: 8:00-18:00  Wednesday: 8:00-18:00  Thursday: 8:00-18:00  Friday: 8:00-17:00  Saturday: 8:00-17:00,,Yes,"New Year's Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Veterans Day

    Thanksgiving

    Christmas Day","Geolocation is 40.855, -90.613056",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Online legal info

    Online referrals to legal help

    Website navigator

    Printers

    Scanners",Navigation help is available part of the time we are open (hours vary),No,$0.15 per page,Yes,,No,,"Getting a divorce

    Getting child support

    Being sued for $10,000 or less

    How a tenant can stop an eviction

    Getting an order of protection for domestic violence

    Avoiding mortgage foreclosure",,,,,,,,,,http://www.wcplibrary.org/,25876,27751
49931,Free legal information and forms in White County,Yes,Legal self-help center,Yes,(618) 378-3713,,,,,Yes,Fixed hours,Yes,Sunday: Closed Monday: 12:00-19:00  Tuesday: 12:00-19:00  Wednesday: 12:00-19:00  Thursday: 12:00-19:00  Friday: 10:00-17:00  Saturday: 10:00-17:00,,Yes,"New Year's Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Day","Geolocation is 37.977903, -88.328317",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Paper court forms

    Online legal info

    Online referrals to legal help

    Printers

    Scanners",,No,$0.15 per page for black and white copies; $1.00 per page for color copies,Yes,,No,,"Getting a divorce

    Respond to a mortgage foreclosure complaint

    Changing child support payments

    Being sued for $10,000 or less

    Evicting a tenant

    Getting guardianship of a child",,,,,,,,,,https://www.facebook.com/Norris-City-Memorial-Public-Library-856118431092133/,25901,49926
49921,Free legal information and forms in White County,Yes,Legal self-help center,Yes,(618) 382.5277,,,,,Yes,Fixed hours,Yes,Sunday: Closed Monday: 10:00-19:00  Tuesday: 10:00-19:00  Wednesday: 10:00-19:00  Thursday: 10:00-19:00  Friday: 10:00-18:00  Saturday: 11:00-17:00,,Yes,"New Year's Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 38.06622, -88.13832",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Paper court forms

    Online legal info

    Online referrals to legal help

    Website navigator

    Printers",Navigation help is provided during open hours,No,"$0.25 per page, or $0.30 per page front and back",,,No,,"Getting a divorce

    Respond to a mortgage foreclosure complaint

    Changing child support payments

    Being sued for $10,000 or less

    Evicting a tenant

    Getting guardianship of a child",,,,,,,,,,http://www.cityofcarmi.org/carmi-public-library/,25901,27776
49916,Free legal information and forms in Whiteside County,Yes,Legal self-help center,Yes,(815) 625-1370,,,,,Yes,Fixed hours,Yes,Sunday: Closed Monday: 9:00-20:00  Tuesday: 9:00-20:00  Wednesday: 9:00-20:00  Thursday: 9:00-20:00  Friday: 9:00-17:00  Saturday: 8:00-17:00,,Yes,"New Year's Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 41.818523, -89.718838",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Online legal info

    Online referrals to legal help

    Website navigator

    Printers",Navigation help is provided during open hours,No,$0.15 per page,,,No,,"Getting a divorce

    Changing child support payments

    Suing someone for $10,000 or less

    How a tenant can stop an eviction

    Getting an order of protection for domestic violence

    Avoiding mortgage foreclosure",,,,,,,,,,http://www.youseemore.com/sterling/default.asp,25906,49911
49906,Free legal information and forms in Whiteside County,Yes,Legal self-help center,Yes,(815) 772-7323,,,,,Yes,Fixed hours,Yes,Sunday: Closed Monday: 10:00-20:00  Tuesday: 14:00-20:00  Wednesday: 10:00-20:00  Thursday: 14:00-20:00  Friday: 14:00-17:00  Saturday: 10:00-15:00,,Yes,"New Year's Day

    Martin Luther King, Jr. Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Christmas Day","Geolocation is 41.821788, -89.965907",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Online legal info

    Online referrals to legal help

    Printers

    Scanners",,No,$0.20 for black and white; $0.50 for some color,Yes,,No,,"Getting a divorce

    Changing child support payments

    Suing someone for $10,000 or less

    How a tenant can stop an eviction

    Getting an order of protection for domestic violence

    Avoiding mortgage foreclosure",,,,,,,,,,http://odellpubliclibrary.com/wp/,25906,27781
49901,Visitation at Old Saint Mary's Church,No,Direct representation,Yes,(312) 332-1624,"Extended representation

    Brief services

    Advice",No,,8clients/cases served per month.,Yes,Fixed hours,No,,"Repeats every month on the third Saturday 24 times. Saturday, July 16, 2016 - 9:30am to 11:30am",Yes,,"Geolocation is 41.865699, -87.627039",Yes,Free to eligible persons/entities,,,175%,,,,,,,No,,,Telephone,,,Please call for an appointment.,,,,,In Person,,24656,49896
49891,Trinity United Church of Christ legal clinic,No,Direct representation,Yes,(312) 332-1624,"Extended representation

    Brief services

    Advice",No,Yes,5clients/cases served per month.,Yes,Fixed hours,No,,"Repeats every 2 weeks every Saturday 24 times except Sat Jul 30 2016, Sat Oct 29 2016, Sat Dec 31 2016, Sat Jan 07 2017, Sat Apr 29 2017, Sat Jul 29 2017. Saturday, July 2, 2016 - 9:00am to 11:00pm

    Saturday, July 16, 2016 - 9:00am to 11:00pm

    Saturday, August 13, 2016 - 9:00am to 11:00pm

    Saturday, August 27, 2016 - 9:00am to 11:00pm

    Saturday, September 10, 2016 - 9:00am to 11:00pm

    Saturday, September 24, 2016 - 9:00am to 11:00pm

    Saturday, October 8, 2016 - 9:00am to 11:00pm

    Saturday, October 22, 2016 - 9:00am to 11:00pm

    Saturday, November 5, 2016 - 9:00am to 11:00pm

    Saturday, November 19, 2016 - 9:00am to 11:00pm

    Saturday, December 3, 2016 - 9:00am to 11:00pm

    Saturday, December 17, 2016 - 9:00am to 11:00pm

    Saturday, January 14, 2017 - 9:00am to 11:00pm

    Saturday, January 28, 2017 - 9:00am to 11:00pm

    Saturday, February 11, 2017 - 9:00am to 11:00pm

    Saturday, February 25, 2017 - 9:00am to 11:00pm

    Saturday, March 11, 2017 - 9:00am to 11:00pm

    Saturday, March 25, 2017 - 9:00am to 11:00pm

    Saturday, April 8, 2017 - 9:00am to 11:00pm

    Saturday, April 22, 2017 - 9:00am to 11:00pm

    Saturday, May 6, 2017 - 9:00am to 11:00pm

    Saturday, May 20, 2017 - 9:00am to 11:00pm

    Saturday, June 3, 2017 - 9:00am to 11:00pm

    Saturday, June 17, 2017 - 9:00am to 11:00pm",Yes,,"Geolocation is 41.699379, -87.659992",Yes,Free to eligible persons/entities,,,175%,,,,,,,No,,,Walk-in,,,,,,,,In Person,,24656,49886
49881,Tressler LLP legal clinic at First Congregational Church of LaGrange,No,Direct representation,Yes,(312) 332-1624,"Extended representation

    Brief services

    Advice",No,Yes,2clients/cases served per month.,Yes,Fixed hours,No,,"Repeats every month on January, March, May, July, September, November on the second Saturday 12 times. Saturday, July 9, 2016 - 12:00pm to 1:00pm",Yes,,"Geolocation is 41.795251, -87.875697",Yes,Free to eligible persons/entities,,,175%,,,,,,,No,,,Walk-in,,,,,,,,In Person,,24656,49876
49871,Tressler LLP/Saint Malachy + Precious Blood Church legal clinic,No,Direct representation,Yes,(312) 773-1068 ext. 321,"Extended representation

    Brief services

    Advice",No,No,4clients/cases served per month.,Yes,Fixed hours,No,,"Repeats every month on January, February, March, April, May, September, October, November on the second Saturday 24 times. Saturday, August 13, 2016 - 10:00am to 12:00pm

    Saturday, September 10, 2016 - 10:00am to 12:00pm

    Saturday, October 8, 2016 - 10:00am to 12:00pm

    Saturday, November 12, 2016 - 10:00am to 12:00pm

    Saturday, January 14, 2017 - 10:00am to 12:00pm

    Saturday, February 11, 2017 - 10:00am to 12:00pm

    Saturday, March 11, 2017 - 10:00am to 12:00pm

    Saturday, April 8, 2017 - 10:00am to 12:00pm

    Saturday, May 13, 2017 - 10:00am to 12:00pm

    Saturday, September 9, 2017 - 10:00am to 12:00pm

    Saturday, October 14, 2017 - 10:00am to 12:00pm

    Saturday, November 11, 2017 - 10:00am to 12:00pm

    Saturday, January 13, 2018 - 10:00am to 12:00pm

    Saturday, February 10, 2018 - 10:00am to 12:00pm

    Saturday, March 10, 2018 - 10:00am to 12:00pm

    Saturday, April 14, 2018 - 10:00am to 12:00pm

    Saturday, May 12, 2018 - 10:00am to 12:00pm

    Saturday, September 8, 2018 - 10:00am to 12:00pm

    Saturday, October 13, 2018 - 10:00am to 12:00pm

    Saturday, November 10, 2018 - 10:00am to 12:00pm

    Saturday, January 12, 2019 - 10:00am to 12:00pm

    Saturday, February 9, 2019 - 10:00am to 12:00pm

    Saturday, March 9, 2019 - 10:00am to 12:00pm

    Saturday, April 13, 2019 - 10:00am to 12:00pm",Yes,,"Geolocation is 41.881072, -87.68713",Yes,Free to eligible persons/entities,,,175%,,,,,,,No,,,Telephone,,,Please call Juanita at 312-773-1068 ext. 321 for an appointment.,,,,,In Person,,24656,49866
49861,ThunderDome Divorce Clinic,No,Direct representation,Yes,(312) 332-1624,"Extended representation

    Brief services

    Advice",No,No,,Yes,Fixed hours,Yes,Sunday: Closed Monday: 9:00-17:00  Tuesday: Closed Wednesday: Closed Thursday: Closed Friday: Closed Saturday: Closed,,Yes,,"Geolocation is 41.88149, -87.624392",Yes,Free to eligible persons/entities,,,175%,,,,,,,No,,,Telephone,,,Clinic dates and times vary. Please call for more details and to make an appointment.,,,,,In Person,,24656,49846
49816,Southeast legal clinic,No,Direct representation,Yes,(773) 846-6100,"Extended representation

    Brief services

    Advice",No,No,8clients/cases served per month.,Yes,Fixed hours,No,,"Repeats every month on February, March, April, June, July, August, October, November, December on the first Saturday 24 times. Saturday, August 6, 2016 - 9:00am to 12:00pm

    Saturday, October 1, 2016 - 9:00am to 12:00pm

    Saturday, November 5, 2016 - 9:00am to 12:00pm

    Saturday, December 3, 2016 - 9:00am to 12:00pm

    Saturday, February 4, 2017 - 9:00am to 12:00pm

    Saturday, March 4, 2017 - 9:00am to 12:00pm

    Saturday, April 1, 2017 - 9:00am to 12:00pm

    Saturday, June 3, 2017 - 9:00am to 12:00pm

    Saturday, July 1, 2017 - 9:00am to 12:00pm

    Saturday, August 5, 2017 - 9:00am to 12:00pm

    Saturday, October 7, 2017 - 9:00am to 12:00pm

    Saturday, November 4, 2017 - 9:00am to 12:00pm

    Saturday, December 2, 2017 - 9:00am to 12:00pm

    Saturday, February 3, 2018 - 9:00am to 12:00pm

    Saturday, March 3, 2018 - 9:00am to 12:00pm

    Saturday, April 7, 2018 - 9:00am to 12:00pm

    Saturday, June 2, 2018 - 9:00am to 12:00pm

    Saturday, July 7, 2018 - 9:00am to 12:00pm

    Saturday, August 4, 2018 - 9:00am to 12:00pm

    Saturday, October 6, 2018 - 9:00am to 12:00pm

    Saturday, November 3, 2018 - 9:00am to 12:00pm

    Saturday, December 1, 2018 - 9:00am to 12:00pm

    Saturday, February 2, 2019 - 9:00am to 12:00pm

    Saturday, March 2, 2019 - 9:00am to 12:00pm",Yes,,"Geolocation is 41.745767, -87.607643",Yes,Free to eligible persons/entities,,,175%,,,,,,,No,,,Telephone,,,Please call Marva at 773-846-6100 for an appointment.,,,,,In Person,,24656,49796
49771,South Asian legal clinic,No,Direct representation,Yes,(773) 973-4444 ext. 124,"Extended representation

    Brief services

    Advice",No,No,8clients/cases served per month.,Yes,Fixed hours,No,,"Repeats every month on the second Saturday 24 times. Saturday, August 13, 2016 - 1:00pm to 4:00pm

    Saturday, September 10, 2016 - 1:00pm to 4:00pm

    Saturday, October 8, 2016 - 1:00pm to 4:00pm

    Saturday, November 12, 2016 - 1:00pm to 4:00pm

    Saturday, December 10, 2016 - 1:00pm to 4:00pm

    Saturday, January 14, 2017 - 1:00pm to 4:00pm

    Saturday, February 11, 2017 - 1:00pm to 4:00pm

    Saturday, March 11, 2017 - 1:00pm to 4:00pm

    Saturday, April 8, 2017 - 1:00pm to 4:00pm

    Saturday, May 13, 2017 - 1:00pm to 4:00pm

    Saturday, June 10, 2017 - 1:00pm to 4:00pm

    Saturday, July 8, 2017 - 1:00pm to 4:00pm

    Saturday, August 12, 2017 - 1:00pm to 4:00pm

    Saturday, September 9, 2017 - 1:00pm to 4:00pm

    Saturday, October 14, 2017 - 1:00pm to 4:00pm

    Saturday, November 11, 2017 - 1:00pm to 4:00pm

    Saturday, December 9, 2017 - 1:00pm to 4:00pm

    Saturday, January 13, 2018 - 1:00pm to 4:00pm

    Saturday, February 10, 2018 - 1:00pm to 4:00pm

    Saturday, March 10, 2018 - 1:00pm to 4:00pm

    Saturday, April 14, 2018 - 1:00pm to 4:00pm

    Saturday, May 12, 2018 - 1:00pm to 4:00pm

    Saturday, June 9, 2018 - 1:00pm to 4:00pm

    Saturday, July 14, 2018 - 1:00pm to 4:00pm",Yes,,"Geolocation is 41.98637, -87.70116",Yes,Free to eligible persons/entities,,,175%,,,,,,,No,,,Telephone,,,Please call for an appointment.,,,,,In Person,,24656,49751
49741,Sidley Austin/Salvation Army legal clinic,No,Direct representation,Yes,(312) 332-1624,"Extended representation

    Brief services

    Advice",No,No,3clients/cases served per month.,Yes,Fixed hours,No,,"Repeats every month on the first Thursday 24 times. Thursday, August 4, 2016 - 6:00pm to 7:00pm",Yes,,"Geolocation is 41.87941, -87.650582",Yes,Free to eligible persons/entities,,,175%,,,,,,,No,,,Telephone,,,Please call for an appointment.,,,,,In Person,,24656,49736
49726,Schiff Hardin / How Inc. legal clinic,No,Direct representation,Yes,(312) 332-1624,"Extended representation

    Brief services

    Advice",No,Yes,4clients/cases served per month.,Yes,Fixed hours,No,,"Repeats every 2 weeks every Tuesday 48 times except Tue Dec 13 2016, Tue Dec 12 2017. Tuesday, July 26, 2016 - 5:00pm to 7:00pm",Yes,,"Geolocation is 42.005107, -87.669133",Yes,Free to eligible persons/entities,,,175%,,,,,,,No,,,Walk-in,,,,,Sign-ups for interviews begin at 5:00 PM every second and fourth Tuesday of every month.  Interviews start at 6:00 PM.,,,In Person,,24656,49721
49646,Our Lady of Mercy/Saint Clements Church legal clinic,No,Direct representation,Yes,(773) 588-2620,"Extended representation

    Brief services

    Advice",No,No,5clients/cases served per month.,Yes,Fixed hours,No,,"Repeats every month on the second Saturday 24 times. Saturday, August 13, 2016 - 10:00am to 12:00pm

    Saturday, September 10, 2016 - 10:00am to 12:00pm

    Saturday, October 8, 2016 - 10:00am to 12:00pm

    Saturday, November 12, 2016 - 10:00am to 12:00pm

    Saturday, December 10, 2016 - 10:00am to 12:00pm

    Saturday, January 14, 2017 - 10:00am to 12:00pm

    Saturday, February 11, 2017 - 10:00am to 12:00pm

    Saturday, March 11, 2017 - 10:00am to 12:00pm

    Saturday, April 8, 2017 - 10:00am to 12:00pm

    Saturday, May 13, 2017 - 10:00am to 12:00pm

    Saturday, June 10, 2017 - 10:00am to 12:00pm

    Saturday, July 8, 2017 - 10:00am to 12:00pm

    Saturday, August 12, 2017 - 10:00am to 12:00pm

    Saturday, September 9, 2017 - 10:00am to 12:00pm

    Saturday, October 14, 2017 - 10:00am to 12:00pm

    Saturday, November 11, 2017 - 10:00am to 12:00pm

    Saturday, December 9, 2017 - 10:00am to 12:00pm

    Saturday, January 13, 2018 - 10:00am to 12:00pm

    Saturday, February 10, 2018 - 10:00am to 12:00pm

    Saturday, March 10, 2018 - 10:00am to 12:00pm

    Saturday, April 14, 2018 - 10:00am to 12:00pm

    Saturday, May 12, 2018 - 10:00am to 12:00pm

    Saturday, June 9, 2018 - 10:00am to 12:00pm

    Saturday, July 14, 2018 - 10:00am to 12:00pm",Yes,,"Geolocation is 41.968521, -87.703667",Yes,Free to eligible persons/entities,,,175%,,,,,,,No,,,Telephone,,,Please call for an appointment.,,,,,In Person,,24656,49641
49636,Old Saint Pat's/Saint Agatha legal clinic,No,Direct representation,Yes,(312) 798-2399,"Extended representation

    Brief services

    Advice",No,Yes,3clients/cases served per month.,Yes,Fixed hours,No,,"Repeats every month on February, April, June, August on the second Saturday until Sun Aug 13 2017. Saturday, August 20, 2016 - 10:00am to 12:00pm

    Saturday, February 11, 2017 - 10:00am to 12:00pm

    Saturday, April 8, 2017 - 10:00am to 12:00pm

    Saturday, June 10, 2017 - 10:00am to 12:00pm

    Saturday, August 12, 2017 - 10:00am to 12:00pm",Yes,,"Geolocation is 41.846636, -87.71724",Yes,Free to eligible persons/entities,,,175%,,,,,,,No,,,"Telephone

    Walk-in",,,Please call for an appointment.,,"Walk-ins are seen on a first-come, first-served basis. It is best to set an appointment.",,,In Person,,24656,49631
49626,Locke Lord/Saint Procopius Church legal clinic,No,Direct representation,Yes,(312) 226-7887,"Extended representation

    Brief services

    Advice",No,No,4clients/cases served per month.,Yes,Fixed hours,No,,"Repeats every month on the second Saturday 24 times. Saturday, August 13, 2016 - 10:00am to 11:00am

    Saturday, September 10, 2016 - 10:00am to 11:00am

    Saturday, October 8, 2016 - 10:00am to 11:00am

    Saturday, November 12, 2016 - 10:00am to 11:00am

    Saturday, December 10, 2016 - 10:00am to 11:00am

    Saturday, January 14, 2017 - 10:00am to 11:00am

    Saturday, February 11, 2017 - 10:00am to 11:00am

    Saturday, March 11, 2017 - 10:00am to 11:00am

    Saturday, April 8, 2017 - 10:00am to 11:00am

    Saturday, May 13, 2017 - 10:00am to 11:00am

    Saturday, June 10, 2017 - 10:00am to 11:00am

    Saturday, July 8, 2017 - 10:00am to 11:00am

    Saturday, August 12, 2017 - 10:00am to 11:00am

    Saturday, September 9, 2017 - 10:00am to 11:00am

    Saturday, October 14, 2017 - 10:00am to 11:00am

    Saturday, November 11, 2017 - 10:00am to 11:00am

    Saturday, December 9, 2017 - 10:00am to 11:00am

    Saturday, January 13, 2018 - 10:00am to 11:00am

    Saturday, February 10, 2018 - 10:00am to 11:00am

    Saturday, March 10, 2018 - 10:00am to 11:00am

    Saturday, April 14, 2018 - 10:00am to 11:00am

    Saturday, May 12, 2018 - 10:00am to 11:00am

    Saturday, June 9, 2018 - 10:00am to 11:00am

    Saturday, July 14, 2018 - 10:00am to 11:00am",Yes,,"Geolocation is 41.849103, -87.667335",Yes,Free to eligible persons/entities,,,175%,,,,,,,No,,,Telephone,,,Please call Sylvia Juarez at 312-226-7887 for an appointment.,,,,,In Person,,24656,49606
49591,Legal Prep Academy legal services,No,Direct representation,Yes,(312) 332-1624,"Extended representation

    Brief services

    Advice",No,,5clients/cases served per month.,Yes,Fixed hours,No,,"Repeats every month on January, February, March, April, May, June, August, September, October, November, December on the second Tuesday 24 times. Tuesday, August 9, 2016 - 5:00pm to 7:00pm",Yes,,"Geolocation is 41.877445, -87.723846",Yes,Free to eligible persons/entities,,,175%,,,,,,,No,,,Telephone,,,Please call for an appointment.,,,,,In Person,,24656,49586
49416,Free legal information and forms for Woodford County,Yes,Legal self-help center,Yes,(309) 367-4594,,No,,,Yes,Fixed hours,Yes,Sunday: Closed Monday: 10:00-17:00  Tuesday: 10:00-19:00  Wednesday: 14:00-19:00  Thursday: 10:00-17:00  Friday: 10:00-17:00  Saturday: 10:00-12:00,,Yes,"New Year's Day

    Martin Luther King, Jr. Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Day","Geolocation is 40.78848, -89.42718",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Online legal info

    Online referrals to legal help

    Website navigator

    Printers",Navigation help is provided during open hours,No,$0.10 per page for black and white; $0.50 per page for color,,,No,,"Getting a divorce

    Getting an order of protection for domestic violence

    Suing someone for $10,000 or less

    Being sued for $10,000 or less

    Understanding eviction as a tenant

    Getting child support",,,,,,,,,,http://ipdpl.org/,25931,49401
49411,Free legal information and forms for Woodford County,Yes,Legal self-help center,Yes,(309) 527-4360,,No,,,Yes,Fixed hours,Yes,Sunday: Closed Monday: 9:00-19:00  Tuesday: 9:00-19:00  Wednesday: 12:00-18:00  Thursday: 9:00-18:00  Friday: 12:00-18:00  Saturday: 10:00-13:00,,Yes,"New Year's Day

    Martin Luther King, Jr. Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Day","Geolocation is 40.740699, -89.012596",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Online legal info

    Online referrals to legal help

    Printers

    Scanners",,No,$0.15 per page,Yes,,No,,"Getting a divorce

    Getting an order of protection for domestic violence

    Suing someone for $10,000 or less

    Being sued for $10,000 or less

    Changing child support payments

    Understanding eviction as a tenant",,,,,,,,,,http://www.elpasopubliclibrary.net/,25931,49406
49396,Free legal information and forms in Woodford County,Yes,Legal self-help center,Yes,(309) 467-2922,,,,,Yes,Fixed hours,Yes,Sunday: Closed Monday: 8:30-20:00  Tuesday: 8:30-20:00  Wednesday: 8:30-18:00  Thursday: 8:30-20:00  Friday: 8:30-18:00  Saturday: 9:00-13:00,,Yes,"New Year's Day

    Martin Luther King, Jr. Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Day","Geolocation is 40.716571, -89.276742",Yes,Free to everyone,,,,"Computers & Internet

    Online court forms

    Online legal info

    Online referrals to legal help

    Printers",,No,$0.25 per page for black and white,,,No,,"Getting a divorce

    Getting an order of protection for domestic violence

    How a tenant can stop an eviction

    Getting guardianship of a child

    Respond to a mortgage foreclosure complaint

    Being sued for $10,000 or less",,,,,,,,,,http://www.eurekapl.org/,25931,27806
49391,K&L Gates / Saint Peter's Church legal clinic,No,Direct representation,Yes,(312) 332-1624,"Extended representation

    Brief services

    Advice",No,No,2clients/cases served per month.,Yes,Fixed hours,No,,"Repeats every month 24 times. Tuesday, August 2, 2016 - 5:30pm to 6:30pm

    Thursday, September 1, 2016 - 5:30pm to 6:30pm

    Saturday, October 1, 2016 - 5:30pm to 6:30pm

    Tuesday, November 1, 2016 - 5:30pm to 6:30pm

    Thursday, December 1, 2016 - 5:30pm to 6:30pm

    Sunday, January 1, 2017 - 5:30pm to 6:30pm

    Wednesday, February 1, 2017 - 5:30pm to 6:30pm

    Wednesday, March 1, 2017 - 5:30pm to 6:30pm

    Saturday, April 1, 2017 - 5:30pm to 6:30pm

    Monday, May 1, 2017 - 5:30pm to 6:30pm

    Thursday, June 1, 2017 - 5:30pm to 6:30pm

    Saturday, July 1, 2017 - 5:30pm to 6:30pm

    Tuesday, August 1, 2017 - 5:30pm to 6:30pm

    Friday, September 1, 2017 - 5:30pm to 6:30pm

    Sunday, October 1, 2017 - 5:30pm to 6:30pm

    Wednesday, November 1, 2017 - 5:30pm to 6:30pm

    Friday, December 1, 2017 - 5:30pm to 6:30pm

    Monday, January 1, 2018 - 5:30pm to 6:30pm

    Thursday, February 1, 2018 - 5:30pm to 6:30pm

    Thursday, March 1, 2018 - 5:30pm to 6:30pm

    Sunday, April 1, 2018 - 5:30pm to 6:30pm

    Tuesday, May 1, 2018 - 5:30pm to 6:30pm

    Friday, June 1, 2018 - 5:30pm to 6:30pm

    Sunday, July 1, 2018 - 5:30pm to 6:30pm",Yes,,"Geolocation is 41.88149, -87.624392",Yes,Free to eligible persons/entities,,,175%,,,,,,,No,,,Telephone,,,Please call for an appointment.,,,,,In Person,,24656,49386
49381,JUF/JCLS community legal services,No,Direct representation,Yes,(847) 568-1525,"Extended representation

    Brief services

    Advice",No,,6clients/cases served per month.,Yes,Fixed hours,No,,"Repeats every week every Monday until Sat Dec 31 2016 except Mon Aug 01 2016, Mon Aug 29 2016, Mon Sep 05 2016, Mon Oct 03 2016, Mon Oct 31 2016, Mon Nov 07 2016, Mon Dec 05 2016. Monday, July 25, 2016 - 7:00pm to 9:00pm

    Monday, August 8, 2016 - 7:00pm to 9:00pm

    Monday, August 15, 2016 - 7:00pm to 9:00pm

    Monday, August 22, 2016 - 7:00pm to 9:00pm

    Monday, September 12, 2016 - 7:00pm to 9:00pm

    Monday, September 19, 2016 - 7:00pm to 9:00pm

    Monday, September 26, 2016 - 7:00pm to 9:00pm

    Monday, October 10, 2016 - 7:00pm to 9:00pm

    Monday, October 17, 2016 - 7:00pm to 9:00pm

    Monday, October 24, 2016 - 7:00pm to 9:00pm

    Monday, November 14, 2016 - 7:00pm to 9:00pm

    Monday, November 21, 2016 - 7:00pm to 9:00pm

    Monday, November 28, 2016 - 7:00pm to 9:00pm

    Monday, December 12, 2016 - 7:00pm to 9:00pm

    Monday, December 19, 2016 - 7:00pm to 9:00pm

    Monday, December 26, 2016 - 7:00pm to 9:00pm",Yes,,"Geolocation is 42.008098, -87.706039",Yes,Free to eligible persons/entities,,,175%,,,,,,,No,,,Telephone,,,Please call for an appointment.,,,,,In Person,,24656,49376
49371,Housing Forward/Saint John's Lutheran Church legal clinic,No,Direct representation,Yes,(312) 332-1624,"Extended representation

    Brief services

    Advice",No,Yes,2clients/cases served per month.,Yes,Fixed hours,No,,"Repeats every month on January, February, March, April, May, October, November, December on the first Friday 12 times. Friday, October 7, 2016 - 6:30pm to 10:30pm

    Friday, November 4, 2016 - 6:30pm to 10:30pm

    Friday, December 2, 2016 - 6:30pm to 10:30pm

    Friday, January 6, 2017 - 6:30pm to 10:30pm

    Friday, February 3, 2017 - 6:30pm to 10:30pm

    Friday, March 3, 2017 - 6:30pm to 10:30pm

    Friday, April 7, 2017 - 6:30pm to 10:30pm

    Friday, May 5, 2017 - 6:30pm to 10:30pm

    Friday, October 6, 2017 - 6:30pm to 10:30pm

    Friday, November 3, 2017 - 6:30pm to 10:30pm

    Friday, December 1, 2017 - 6:30pm to 10:30pm

    Friday, January 5, 2018 - 6:30pm to 10:30pm",Yes,,"Geolocation is 41.871581, -87.815134",Yes,Free to eligible persons/entities,,,175%,,,,,,,No,,,Walk-in,,,,,,,,In Person,,24656,49366
49361,Hellenic legal assistance services,No,Direct representation,Yes,(773) 631-0883,"Extended representation

    Brief services

    Advice",No,Yes,5clients/cases served per month.,No,Fixed hours,No,,"Saturday, August 13, 2016 - 10:00am to Saturday, July 9, 2016 - 1:00pm",Yes,,"Geolocation is 42.007469, -87.741972",Yes,Free to eligible persons/entities,,,175%,,,,,,,No,,,"Telephone

    Walk-in",,,Please call Sophia at 773-631-0883 for an appointment.,,"Walk-ins are seen on a first-come, first-served basis. It is better to set an appointment if you can.",,,In Person,,24656,49356
